Modelo,Train_R2,Test_R2,Test_RMSE,Test_MAE,CV_Mean,CV_Std
LightGBM,0.8836058327857094,0.8386101247143777,0.45987687653485965,0.3054582064419925,0.8345063139452374,0.005371346823269463
XGBoost,0.943122283030685,0.8366589575055071,0.46264842872316314,0.31074241395526386,0.8296784284379536,0.007241069720985493
Random Forest,0.9735051462985991,0.8047061244071481,0.5058802703924463,0.3277656991521319,0.8044490027318245,0.005250708686881523
Gradient Boosting,0.8048978817773166,0.7756433164710084,0.5422167577867202,0.3716504484843678,0.7865483165949287,0.003145737085013884
Lasso Regression,0.6084735081636228,0.5816154300698727,0.7404423656125414,0.5353261423609051,0.6076615040034804,0.004698982152980462
Ridge Regression,0.6125511218634558,0.575815742891368,0.7455567442814782,0.5331931195789733,0.6114838842658133,0.006460016132780941
Linear Regression,0.6125511913966952,0.575787706032451,0.7455813830127763,0.5332001304956566,0.6114839952560992,0.006466940989012905
